passer,receiver,x,y,end_x,end_y,pass_outcome,pass_length,pass_angle,minute,second,team,match_id,match_date,opponent
Hakim Ziyech,Youssef En-Nesyri,105.9,70.9,111.9,47.9,Incomplete,23.769728,-1.315614,0,50,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Sofiane Boufal,104.2,0.1,112.1,4.9,,9.2439165,0.5459853,1,10,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,Kamal Miller,6.0,44.0,17.0,23.0,,23.70654,-1.0882831,1,28,Canada,3857276,2022-12-01,Canada
Kamal Miller,Cyle Larin,17.5,22.9,63.2,47.0,Incomplete,51.665268,0.48528925,1,36,Canada,3857276,2022-12-01,Canada
Romain Saïss,Youssef En-Nesyri,56.9,33.1,78.3,35.2,,21.50279,0.09781766,1,39,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Sofyan Amrabat,75.2,34.4,67.2,38.2,,8.856636,2.6981444,1,42,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Nayef Aguerd,56.5,34.9,40.9,43.4,,17.765415,2.6426952,1,44,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,38.8,44.8,40.9,74.4,,29.6744,1.499969,1,47,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,42.3,76.6,57.5,78.7,,15.34438,0.1372888,1,49,Morocco,3857276,2022-12-01,Morocco
David Junior Hoilett,Cyle Larin,69.3,13.7,77.6,31.2,,19.36853,1.127931,1,54,Canada,3857276,2022-12-01,Canada
Cyle Larin,Alphonso Davies,77.3,35.9,94.8,47.1,,20.777151,0.56931317,1,57,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Mark Anthony Kaye,103.1,51.1,96.5,40.7,,12.317468,-2.1362803,2,4,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alphonso Davies,75.1,42.1,81.6,52.1,,11.926861,0.9944211,2,12,Canada,3857276,2022-12-01,Canada
Abdelhamid Sabiri,Sofiane Boufal,38.3,23.5,33.4,19.8,,6.140033,-2.4948342,2,15,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Abdelhamid Sabiri,33.4,19.8,50.3,11.3,,18.917189,-0.46601167,2,16,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofiane Boufal,52.3,9.2,57.7,17.9,,10.239629,1.0153025,2,19,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Abdelhamid Sabiri,57.7,17.9,50.6,17.7,,7.102816,-3.113431,2,20,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Azzedine Ounahi,52.2,20.0,57.4,29.0,,10.394229,1.046877,2,20,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofyan Amrabat,57.4,29.0,50.6,26.2,,7.3539104,-2.7509856,2,22,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Sofiane Boufal,52.9,24.1,84.1,5.1,,36.529987,-0.5469922,2,24,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Jonathan Osorio,32.1,80.0,33.6,72.8,,7.3545904,-1.3654009,2,41,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Alistair Johnston,31.5,72.8,32.6,77.1,,4.438468,1.3203533,2,42,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Jonathan Osorio,34.0,77.3,27.2,72.8,,8.15414,-2.5569913,2,43,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Kamal Miller,28.1,60.8,19.8,36.6,,25.583784,-1.9011993,2,47,Canada,3857276,2022-12-01,Canada
Kamal Miller,David Junior Hoilett,22.9,29.1,45.4,26.5,,22.649725,-0.115045294,2,50,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Mark Anthony Kaye,45.6,28.6,37.1,34.5,,10.34698,2.5348256,2,51,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,37.3,34.7,28.1,49.0,,17.003822,2.142487,2,53,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,33.3,49.0,32.2,22.9,,26.123169,-1.612917,2,57,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,33.3,20.8,42.5,5.2,,18.110771,-1.0379524,2,59,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,43.7,5.4,47.7,16.5,,11.798729,1.2249218,3,3,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,47.5,15.9,31.5,15.6,,16.002811,-3.122845,3,4,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,31.5,15.6,31.2,39.9,,24.301851,1.5831413,3,5,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,34.5,44.7,38.3,51.3,,7.615773,1.0483929,3,9,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Mark Anthony Kaye,38.5,51.5,45.6,44.7,,9.831073,-0.7638188,3,11,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alistair Johnston,47.8,46.8,38.3,56.7,,13.720787,2.335579,3,13,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Jonathan Osorio,39.9,58.6,57.2,73.6,,22.897379,0.7143107,3,15,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Alphonso Davies,65.3,76.4,73.0,77.5,,7.7781744,0.14189705,3,17,Canada,3857276,2022-12-01,Canada
Sofiane Boufal,Romain Saïss,47.0,3.7,31.4,7.5,,16.056152,2.9026563,3,18,Morocco,3857276,2022-12-01,Morocco
Steven de Sousa Vitoria,Milan Borjan,31.5,57.5,20.5,48.3,,14.340154,-2.4450686,3,24,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Mark Anthony Kaye,60.0,40.0,43.5,32.4,,18.166178,-2.7099538,4,51,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Sam Adekugbe,43.5,31.7,42.8,6.2,,25.509605,-1.5982404,4,53,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Kamal Miller,42.8,6.6,38.1,14.4,,9.106591,2.113099,4,54,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,38.1,14.4,26.3,43.7,,31.586864,1.9536543,4,56,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Mark Anthony Kaye,38.1,80.0,56.1,57.2,,29.048923,-0.9025069,5,11,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alphonso Davies,56.3,58.0,69.8,56.1,,13.633048,-0.13982236,5,13,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Cyle Larin,69.8,56.1,92.2,70.7,Pass Offside,26.737988,0.5776295,5,15,Canada,3857276,2022-12-01,Canada
Romain Saïss,Achraf Hakimi Mouh,27.9,14.8,25.7,72.3,,57.542072,1.6090386,5,33,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,29.0,72.5,42.3,78.2,,14.469969,0.4048918,5,38,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,38.7,78.2,38.7,73.9,,4.3,-1.5707964,5,40,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,38.7,73.9,36.6,78.9,,5.4230986,1.9684243,5,41,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Noussair Mazraoui,31.9,74.9,42.3,8.4,,67.30832,-1.4156619,5,43,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Steven de Sousa Vitoria,56.0,68.8,42.3,59.4,,16.614752,-2.5402353,5,49,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,42.8,59.4,54.9,50.2,,15.200329,-0.65007997,5,51,Canada,3857276,2022-12-01,Canada
Sofyan Amrabat,Sofiane Boufal,57.4,33.0,100.5,1.1,Out,53.62108,-0.6371603,5,54,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Cyle Larin,30.5,80.0,45.7,77.5,,15.404221,-0.1630142,6,15,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Mark Anthony Kaye,45.7,80.0,40.4,71.9,,9.679876,-2.1502032,6,25,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alistair Johnston,39.2,70.7,43.0,75.0,,5.7384667,0.84704834,6,28,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,30.3,64.5,16.5,66.0,,13.881283,3.033322,6,32,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,22.2,70.7,39.2,75.9,,17.777514,0.29684466,6,34,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alistair Johnston,38.1,75.0,43.8,57.0,Incomplete,18.880943,-1.26412,6,37,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Cyle Larin,21.8,80.0,34.0,75.0,Incomplete,13.18484,-0.38895687,9,35,Canada,3857276,2022-12-01,Canada
Hakim Ziyech,Abdelhamid Sabiri,105.1,0.1,110.8,14.5,Incomplete,15.487091,1.1938871,10,39,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Abdelhamid Sabiri,101.0,25.0,104.8,17.7,,8.229824,-1.0908458,10,42,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Azzedine Ounahi,101.0,14.6,91.8,14.3,,9.20489,-3.1089954,10,45,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofyan Amrabat,90.1,14.4,85.1,33.0,,19.260323,1.8334054,10,46,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Achraf Hakimi Mouh,82.8,37.5,85.1,69.7,,32.28204,1.4994888,10,49,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,88.6,72.8,88.2,62.2,,10.607545,-1.6085143,10,52,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,88.0,62.1,86.7,69.5,,7.5133214,1.7446976,10,53,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,83.9,65.5,89.6,60.9,,7.324616,-0.6790053,10,55,Morocco,3857276,2022-12-01,Morocco
Kamal Miller,Jonathan Osorio,19.1,22.4,23.1,22.7,,4.0112343,0.07485985,10,57,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Sam Adekugbe,23.2,21.3,18.5,8.5,,13.635615,-1.9227002,10,59,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,19.4,8.5,45.9,12.7,,26.830767,0.15718316,11,2,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Tajon Buchanan,46.8,13.5,77.8,0.1,Out,33.77218,-0.4080022,11,4,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Azzedine Ounahi,34.7,80.0,39.4,76.6,,5.800862,-0.6262614,11,30,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Achraf Hakimi Mouh,38.7,76.6,33.8,79.2,,5.5470715,2.6537561,11,30,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Steven de Sousa Vitoria,44.4,35.3,33.6,26.9,,13.682105,-2.4805496,11,34,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,33.4,25.1,40.7,3.0,,23.27445,-1.2517631,11,38,Canada,3857276,2022-12-01,Canada
Kamal Miller,Cyle Larin,45.1,3.6,70.5,11.4,,26.57066,0.29794553,11,42,Canada,3857276,2022-12-01,Canada
Cyle Larin,Tajon Buchanan,70.5,11.4,70.7,1.4,,10.002,-1.550799,11,43,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,80.1,0.1,75.0,3.1,,5.916925,2.6098685,12,5,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Sam Adekugbe,75.0,3.1,81.3,2.1,,6.3788714,-0.15741688,12,6,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Tajon Buchanan,81.3,2.1,93.4,1.4,,12.120231,-0.05778683,12,7,Canada,3857276,2022-12-01,Canada
Sofyan Amrabat,Romain Saïss,34.2,69.9,18.2,47.7,,27.36494,-2.195294,12,11,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Noussair Mazraoui,18.0,28.4,15.0,10.6,,18.051039,-1.7377665,12,17,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Yassine Bounou,12.2,11.1,4.4,26.7,,17.44133,2.0344439,12,21,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Nayef Aguerd,4.4,28.3,7.1,56.7,,28.528057,1.4760108,12,24,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,9.0,61.0,18.0,78.2,,19.412367,1.0887176,12,27,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,19.3,78.2,45.6,72.3,,26.953665,-0.22068101,12,29,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Romain Saïss,38.7,68.5,31.7,31.1,,38.049442,-1.7558213,12,34,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Youssef En-Nesyri,32.6,31.1,57.9,26.9,,25.646248,-0.16450766,12,37,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,Alistair Johnston,26.0,57.5,32.2,61.7,,7.488658,0.59540987,12,42,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Mark Anthony Kaye,32.6,65.2,27.4,38.0,,27.692598,-1.7596935,12,45,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,24.2,24.7,25.7,32.7,,8.13941,1.3854483,12,49,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Jonathan Osorio,44.4,24.8,45.4,52.8,,28.01785,1.5350972,12,58,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Steven de Sousa Vitoria,45.6,52.8,33.3,41.9,,16.43472,-2.4164662,13,0,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Jonathan Osorio,33.3,44.2,45.6,68.6,,27.324898,1.1038754,13,3,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Alphonso Davies,45.6,70.5,65.7,57.2,,24.101868,-0.5845504,13,5,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Mark Anthony Kaye,65.7,57.2,62.2,41.6,Incomplete,15.987808,-1.7915006,13,6,Canada,3857276,2022-12-01,Canada
Azzedine Ounahi,Youssef En-Nesyri,57.9,38.5,68.5,31.4,,12.758135,-0.5901765,13,8,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Azzedine Ounahi,68.5,31.4,61.5,30.0,,7.1386275,-2.9441972,13,9,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofiane Boufal,64.1,28.8,84.1,13.2,,25.364542,-0.6624263,13,12,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Hakim Ziyech,120.0,0.1,117.3,3.4,,4.263801,2.2565258,13,49,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Abdelhamid Sabiri,117.9,10.9,106.6,14.1,,11.74436,2.865632,13,51,Morocco,3857276,2022-12-01,Morocco
Alphonso Davies,Cyle Larin,16.1,69.7,25.3,54.7,,17.59659,-1.0206306,13,55,Canada,3857276,2022-12-01,Canada
Cyle Larin,David Junior Hoilett,51.1,64.6,67.2,73.8,,18.543192,0.5191461,14,0,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Cyle Larin,68.6,75.7,70.0,74.7,,1.7204651,-0.6202495,14,1,Canada,3857276,2022-12-01,Canada
Cyle Larin,Tajon Buchanan,100.8,61.9,113.3,34.9,,29.75315,-1.1372149,14,6,Canada,3857276,2022-12-01,Canada
Yassine Bounou,Nayef Aguerd,7.0,44.1,7.0,59.3,,15.2,1.5707964,14,35,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Azzedine Ounahi,6.6,59.3,33.1,61.0,,26.554472,0.06406316,14,36,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Achraf Hakimi Mouh,23.2,59.5,1.2,73.3,,25.969982,2.5813606,14,39,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,2.8,73.9,21.7,58.4,,24.442995,-0.68688095,14,44,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Noussair Mazraoui,21.5,58.4,24.6,24.8,,33.742702,-1.4787949,14,46,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Romain Saïss,21.2,24.5,8.7,23.4,,12.548306,-3.0538187,14,49,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Sofiane Boufal,9.0,23.8,37.3,7.2,,32.809296,-0.5304878,14,50,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Abdelhamid Sabiri,28.8,18.4,44.2,22.6,,15.962456,0.26625204,14,53,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofiane Boufal,44.2,22.6,39.7,39.2,,17.199127,1.8355186,14,54,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Hakim Ziyech,39.4,39.2,74.5,77.1,,51.656754,0.82373554,14,57,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,Tajon Buchanan,6.0,44.0,73.8,1.9,,79.80758,-0.5556773,15,17,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Sam Adekugbe,80.7,4.7,101.9,7.1,Incomplete,21.335417,0.11272761,15,27,Canada,3857276,2022-12-01,Canada
Nayef Aguerd,Yassine Bounou,10.9,76.5,3.7,47.0,,30.365934,-1.810184,15,31,Morocco,3857276,2022-12-01,Morocco
Kamal Miller,Mark Anthony Kaye,45.7,47.3,48.0,32.4,,15.076471,-1.4176427,15,43,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,50.6,27.2,45.6,49.9,,23.244139,1.7875987,15,48,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,47.7,49.9,51.6,56.1,,7.324616,1.0093026,15,51,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,51.6,56.1,45.4,50.1,,8.627862,-2.3725865,15,53,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Cyle Larin,46.6,50.8,68.4,54.6,,22.128714,0.17257796,15,54,Canada,3857276,2022-12-01,Canada
Noussair Mazraoui,Yassine Bounou,31.7,6.5,11.8,34.0,,33.944954,2.19721,15,58,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Youssef En-Nesyri,13.0,34.0,56.7,27.9,Pass Offside,44.12369,-0.13869193,16,1,Morocco,3857276,2022-12-01,Morocco
Steven de Sousa Vitoria,Kamal Miller,64.1,51.5,56.5,30.7,,22.144978,-1.9211105,16,17,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,56.5,30.7,62.0,3.3,,27.946556,-1.372699,16,19,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,63.2,3.5,72.6,22.9,,21.557365,1.1195962,16,22,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Sam Adekugbe,74.5,21.7,63.1,30.3,,14.280056,2.4952905,16,25,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Tajon Buchanan,64.1,28.2,81.3,1.2,,32.013123,-1.003588,16,29,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,David Junior Hoilett,82.1,2.1,86.3,7.5,,6.8410525,0.90975314,16,31,Canada,3857276,2022-12-01,Canada
Hakim Ziyech,Azzedine Ounahi,36.1,76.6,33.1,69.4,,7.8,-1.9655875,16,38,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Yassine Bounou,32.4,67.3,9.9,41.6,,34.157578,-2.2899017,16,41,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Romain Saïss,9.6,40.6,14.4,21.4,,19.790907,-1.3258177,16,44,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Sofyan Amrabat,14.4,21.4,14.8,38.7,,17.304625,1.5476791,16,47,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Nayef Aguerd,33.1,46.7,39.0,69.7,,23.744684,1.319689,16,57,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Hakim Ziyech,39.9,69.7,52.3,66.6,,12.781628,-0.24497867,17,0,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Nayef Aguerd,50.1,66.4,35.5,72.6,,15.861904,2.7400122,17,2,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Yassine Bounou,25.1,66.4,9.0,53.9,,20.382835,-2.48141,17,6,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Sofyan Amrabat,10.1,54.1,25.3,53.6,,15.208221,-0.03288288,17,9,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Nayef Aguerd,25.3,53.6,14.8,69.5,,19.054132,2.154432,17,10,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,18.4,71.3,36.1,78.9,,19.26266,0.40557346,17,13,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,35.2,77.8,21.0,68.7,,16.865646,-2.57168,17,15,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Sofyan Amrabat,25.1,63.6,38.7,52.2,,17.745985,-0.69762427,17,20,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Azzedine Ounahi,39.2,51.9,36.9,59.1,,7.558439,1.8799952,17,21,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Hakim Ziyech,36.9,59.1,46.5,65.7,,11.649893,0.60228735,17,22,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,46.5,65.7,35.2,78.5,,17.07425,2.294034,17,23,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,35.0,77.7,21.5,64.5,,18.880943,-2.36743,17,27,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Yassine Bounou,13.0,60.2,7.0,48.6,,13.059862,-2.0481417,17,31,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Noussair Mazraoui,7.8,41.5,52.7,8.0,,56.020176,-0.641002,17,33,Morocco,3857276,2022-12-01,Morocco
Alphonso Davies,Alistair Johnston,53.4,80.0,39.2,75.7,,14.836779,-2.8475535,17,43,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,45.6,64.8,28.3,47.8,,24.25469,-2.3649406,17,50,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,27.9,47.7,37.3,18.5,,30.675724,-1.2593547,17,52,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,37.6,18.5,45.7,33.4,,16.959364,1.0728613,17,54,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,44.0,27.9,30.0,19.1,,16.536022,-2.5804293,17,57,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,30.3,19.6,39.9,27.0,,12.121056,0.6567017,18,0,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Jonathan Osorio,38.6,26.5,39.7,53.9,,27.422071,1.5306718,18,2,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Alistair Johnston,38.8,56.3,63.6,75.2,,31.180923,0.6511982,18,5,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Alphonso Davies,69.5,78.0,114.4,62.7,Incomplete,47.43522,-0.32841712,18,7,Canada,3857276,2022-12-01,Canada
Yassine Bounou,Nayef Aguerd,4.9,29.0,15.8,52.5,,25.904825,1.1365012,18,17,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Hakim Ziyech,28.1,60.7,47.1,70.5,Incomplete,21.378494,0.47619924,18,22,Morocco,3857276,2022-12-01,Morocco
Tajon Buchanan,Sam Adekugbe,68.8,1.2,66.5,2.1,Incomplete,2.4698179,2.768605,18,24,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,62.6,13.9,44.0,20.3,,19.670282,2.8101962,18,28,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,44.7,20.3,48.7,12.7,,8.588365,-1.0863184,18,29,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Jonathan Osorio,50.8,10.7,56.1,21.7,,12.210241,1.1217997,18,34,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,David Junior Hoilett,55.3,23.4,61.0,44.9,,22.242752,1.3116419,18,39,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Mark Anthony Kaye,60.8,45.9,62.3,36.7,,9.321481,-1.4091749,18,40,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,David Junior Hoilett,62.3,36.7,61.9,38.0,Incomplete,1.360147,1.8692952,18,41,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Cyle Larin,76.2,66.0,106.0,57.4,,31.016125,-0.28095686,18,48,Canada,3857276,2022-12-01,Canada
